UHGP_Ko,Lachnospiraceae_Human_GI_Ko
K01844,K02884
K01845,K02886
K01846,K02887
K01847,K02888
K01848,K02890
K01849,K02892
K01851,K02895
K01852,K02897
K01854,K02899
K01856,K02902
K01857,K02904
K01858,K02906
K01860,K02907
K01865,K02909
K01866,K02911
K01867,K02913
K01868,K02914
K01869,K02916
K01870,K02919
K01872,K02926
K01873,K02927
K01874,K02931
K01875,K02933
K01876,K02935
K01878,K02939
K01879,K02945
K01880,K02946
K01881,K02948
K01883,K02950
K01884,K02952
K01885,K02954
K01886,K02956
K01887,K02959
K01889,K02960
K01890,K02961
K01892,K02963
K01893,K02965
K01894,K02967
K01895,K02968
K01896,K02970
K01897,K02982
K01899,K02986
K01902,K02988
K01903,K02990
K01904,K02992
K01905,K02994
K01906,K02996
K01907,K03040
K01908,K03043
K01909,K03046
K01910,K03060
K01911,K03070
K01912,K03071
K01914,K03072
K01915,K03073
K01916,K03074
K01918,K03075
K01919,K03076
K01920,K03077
K01921,K03078
K01922,K03079
K01923,K03086
K01924,K03087
K01925,K03088
K01926,K03090
K01928,K03091
K01929,K03092
K01930,K03093
K01932,K03100
K01933,K03101
K01934,K03106
K01935,K03110
K01937,K03111
K01938,K03112
K01939,K03116
K01940,K03117
K01941,K03118
K01942,K03147
K01945,K03148
K01946,K03149
K01947,K03150
K01948,K03151
K01949,K03152
K01950,K03153
K01951,K03154
K01952,K03163
K01953,K03168
K01954,K03169
K01955,K03177
K01956,K03179
K01958,K03182
K01959,K03183
K01960,K03186
K01961,K03187
K01962,K03188
K01963,K03189
K01964,K03190
K01965,K03191
K01966,K03200
K01968,K03201
K01969,K03205
K01971,K03207
K01972,K03208
K01974,K03210
K01975,K03215
K01989,K03216
K01990,K03217
K01991,K03218
K01992,K03220
K01993,K03224
K01994,K03231
K01995,K03265
K01996,K03270
K01997,K03271
K01998,K03272
K01999,K03273
K02000,K03274
K02001,K03281
K02002,K03282
K02003,K03283
K02004,K03284
K02005,K03292
K02006,K03293
K02007,K03294
K02008,K03296
K02009,K03297
K02010,K03298
K02011,K03299
K02012,K03300
K02013,K03301
K02014,K03303
K02015,K03305
K02016,K03306
K02017,K03307
K02018,K03308
K02019,K03309
K02020,K03310
K02021,K03311
K02022,K03312
K02024,K03313
K02025,K03315
K02026,K03316
K02027,K03317
K02028,K03319
K02029,K03320
K02030,K03321
K02031,K03322
K02032,K03324
K02033,K03325
K02034,K03326
K02035,K03327
K02036,K03328
K02037,K03332
K02038,K03333
K02039,K03335
K02040,K03336
